userId,playNum
8OJ1ph2tEaO,118
8w2Xd9yRINC,113
j03033yalke,95
q0303yfryfx,115
v0020wkit8e,228
q0303qliqqv,120
h0304yj0256,70
r0304nl3tqb,54
y0304thwfvw,57
u03036nzn5u,76
m0020zog730,4095
y01419x79ur,93
i0184aoh5hr,99
r00179rw2t1,56
l019246xu8i,74
a0189wlg2n8,68
j0196re3fh1,113
w0119mekg4f,67
w01968tnwac,128
s0019vnw6vq,7204
z00205jd92z,259
o00204h5ibz,54
u00202u2kve,74
k0020ej8ynf,57
u0020myl3r6,8798
e0304k4nimd,270
s0020n8hmkt,85
t00202w2txi,205
n0020w4dcw1,7027
e0020miojif,6210
b0020ox8xh3,5807
b002043zu1u,5696
e002019m5th,6459
h002083tv6x,5216
u00169yjkba,55
n0020qexjhv,734
f00162bdk7l,57
o00163cq2r8,75
x0020931yjq,4146
n00205pd5zb,374
w0020tllw6t,138
u00200j6bvq,3887
q002044zneu,188
i0020pjnoke,1605
t0020b8pxjz,2179
t0020b6x38p,2865
z00203vu0v7,2861
e00201im0jo,2623
j0020xi2war,169
j0020586f8n,370
j0020mgfmvn,723
c0020mwtbv3,625
t0020q0c1hf,665
b0020jep6f6,768
f0019xpyo71,54
u0303fll7do,338
t002075v1v4,2352
w0020e2dx7z,866
v0020j353wj,2265
c0020zehsul,760
i00205l9mvm,288
t0020m8o7lr,733
o0020w93c42,84
m00201qo2yh,731
d0020rdir8v,691
j0020c4tlt5,2336
m0019ljrh89,5606
o00200xmjgz,651
u0305bhcivh,171
b0020load1u,2078
m0020lvxhl9,2228
u0020twix0q,2261
198565,278
z00204e16dv,4245
a0300s95j6e,66
b0020hmo017,4259
b0183lty1i7,61
198257,62
h0020sec271,3835
z0020uexg92,4146
i0018iv31dm,863
b0018f8h4xj,826
p0014n4d3fm,93
e0020oqkla0,2047
d0020ztes2w,1238
z002007rfiw,1216
g0017ocn424,415
r0020scapts,2087
j0020j9dbfg,1230
y00141s4gbu,100
w0020bxdw8o,1191
b001416pzs2,103
y0020pph4se,1223
e0017rakge6,476
p001743sysd,448
g00143vc8l6,95
c0020xz9fhr,1243
b0019yowffm,1066
f0020k88rjq,1541
f0019jib8b7,963
f0020e7u9s6,1562
t0020oxdr1x,1476
s0018w0kleu,774
m0015vujqak,266
y0013ce37gc,872
t00191eeta0,1075
k00180xtrrh,793
u0018us39ah,816
l0015p6vrnq,233
c00158syufh,250
k0018avb0pr,640
s0019e9d4fx,954
l00203gmwar,1518
g0020d1jeao,1800
x0012muz29f,118
l0018qj3zqk,634
u00209bwiuj,1943
n0018f8frjc,623
t0020n1ng0d,1413
r0018e9wmj3,646
e00193pujd8,872
a00129t9w5y,122
x001845prig,687
c0020gjgssi,1826
q0015cx1dip,288
h0020ca0j31,1490
u0020oo2pkr,1725
h0019ogu40w,938
v0015nbotkt,296
e0012c68iiz,109
f00149r8nvb,80
x00154bgc7x,256
k0018p4pofe,675
t0020kv3zxv,1565
k0020vekvun,1611
p00198jface,905
j0018apepqm,626
m0015841qr4,308
r0015pgkmbd,265
c00188tly05,740
t0020dcl4ha,1581
o0015pqy9pr,272
x00186yb24w,620
e00155o2j1d,298
u00125xr2qr,102
l0019u468x3,1006
q0020e8rkdy,1800
d00193l7lrc,351
v0018henwzu,719
e00181uxi6j,623
x0015agcxvo,277
w0018q4dkqs,692
u0018l2dgzg,620
i0020rr1mzc,1774
j00200yhhs4,1674
d0020z5zw55,1738
u0020mhoeio,1854
r0018i40qvk,279
z0018j6domw,443
u0020m3ps4w,1756
n00202er1dn,1757
t0020nwyuhk,1810
r0018eer3fx,357
i0020q3m9f8,1740
q0020dk7p0m,1631
h00205vlrmp,1932
v002028nlqb,1814
u0018qoxs4s,309
w00180jiium,189
a0018weon0u,227
v0018n7gg9p,249
j0018od6ex2,217
v0018u1d704,198
i00198qif9r,764
a0019ikd2da,726
o0019qbwf6z,705
n0020ydt383,1246
w0020te01pa,1739
g0019ykhlup,705
d0020u8g7rt,1560
e0019xvap4j,727
b0019i3695t,710
a00191nnu8b,767
a0020rhmr6i,1587
t0020h5j9ik,1304
z0020u7a2ww,1475
c0020zfp52a,63
p0020qgqdzs,101
p0020l3f7ps,82
g0020pj3khv,139
l0020i9rs5t,69
o0020641os3,70
j0019e5vmpe,54
d0020drrgw2,135
e00192q8oqz,52
h00203mff1p,206
h0019dojbpc,66
a0019jkqnur,52
g0019tnmad2,58
s0020oktcaq,287
l0019td3yos,58
s002075uzo7,83
i0020dbpx1j,1600
m0020i7pww8,649
v0019vscqxt,53
e00200i8n8l,437
o00208d7rhg,1511
t00202oh1f1,3281
s0020ghdx11,701
v00201mnrdc,1583
k0020xcxh04,680
x002088g7jq,665
e0020786eop,772
y0020nqwci8,691
z0020ki5zt0,658
t0020m3ps8m,679
h0020zheyp8,717
o002081p5og,680
n0020ekp0k9,687
h0019srz6vu,1316
y0019jt9d3m,1713
o002033h0hq,743
i0020fl6h2v,737
n00203un4mn,743
a00194g3eia,1478
s0019c8t75i,1211
h0020vvaw4t,774
r00200xzzsd,812
s0020f78ax3,783
b00206ydge5,799
t002036i18q,798
m0020gw4gwu,134
u002015k710,342
w0020mcoly0,1731
x00201hzlcc,1836
q002093phl6,1719
i00204sfj8d,1614
k0020x38jwy,63
f0020f4dcjf,576
l002069j1ou,706
i0020heqrzp,652
x0020avuk93,466
n0020iwx1bk,895
k0020epzo6i,208
d0020r6jjqp,226
o0020sdoiyv,403
y0020fprahl,513
b0020i8idy8,836
o03021iu85o,112
k0304c86g97,235
k0304u0i353,118
n0304iwi6c4,208
w001908ayeh,195
a0020blakek,149
x0020gn8l4h,560
l0020rw4y82,66
d0020s03dhp,282
p0020q219yp,119
v0020yjb013,528
l0020lzm537,144
g00208dnfr8,266
y0020t6t90v,70
x00132fkbmx,51
t00192ktzk9,781
r00200ca6q9,1722
j0020jfnpe6,1833
k0020vhg8n9,1773
f002082mfpr,1628
e0014w9uvgg,67
e0020h9phba,119
x0020inniuf,71
l0020pkkovc,704
x002017jipq,184
d0304bs8zvh,100
h00200jvcdd,102
o0020r5iq3w,93
g0020xcnajk,124
x03046ldgoo,67
x0305b68zfa,143
v0304ef1uww,89
f00207k7mp3,125
v0304c0d5jd,112
i03048jp5fe,113
b03046xtjsb,353
i0304vxhw4v,75
U00108nC3bT,159
l0020yl12v0,136
j00203fy9kv,221
u00209ra609,124
o0020xn9y5s,143
g0020irujb2,330
z0020j4d7f8,88
u0020xxtd4q,78
b00202kmp0c,158
l0019y691k9,156
k0019tj38uz,137
w0018t85gnr,69
x0019jthd08,56
k0019w1m4kt,139
s0019tmi0jx,138
m0019fcoen5,53
q0019tjtwhe,64
b0019sopcjw,55
t00194us8np,60
e0019757eez,59
o00190lh6y2,55
i0019w7iupc,57
u0019xx67it,56
k0302o5dpjx,278
p0302nnbac8,195
j0300xrip9x,348
x0300zlbvt1,179
u00195dd2cn,650
u0020ddgvvx,53
u0303mps8l8,214
a0020voonoe,95
k03035nat36,191
f0304ve0vk8,408
f0303hiqffj,127
198632,60
198286,55
199721,203
u0199fik2ww,60
t0304vyy2h9,104
n0181gxrlrr,166
w0182huboi1,67
f0303xr5or9,77
t0303oyc3up,54
f0303cqinjy,63
h0192fpolsa,106
u0304l7c20j,72
u00200gk0p1,1235
t002063i2mi,1442
v0020vb65f3,1524
p0020fjuf82,1559
o00203fid8a,1191
d0303gvzb30,53
l0303yff6tb,76
198859,175
x0303xpa9cb,193
198728,71
1753385891,67
n0304nz870i,172
199747,158
1774966654,58
d0304dskjh3,58
c0020i1p1sq,155
h0304nzjkdv,97
201564,54
e0305684bh2,95
f03017hjyu1,122
w019590cech,52
k0192u9dxnl,82
h0020w7k2vx,1730
z0020ag0bdd,95
y00203v6awg,56
u0020t8egbn,69
g0020qyx75s,102
x0020m373u0,1222
x0020aigch2,1382
q0020c4dk7v,854
i00203uc09c,990
v0020mulxao,743
h0020lc9ujn,301
h0020vzuliv,275
h0020tgpydc,600
c0020mcuhps,560
u0020cl967p,536
